sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,hemnet_url
2023-02-01,Myggdalsvägen 92,92,4.0,90.0,2650000,2650000,29444,5713,0.0,Svensk Fastighetsförmedling Tyresö,19326778,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-92-1680912310126273956
2022-11-10,Myggdalsvägen 86,86,5.0,88.5,2900000,2695000,32768,5984,0.08,SkandiaMäklarna Tyresö/Älta,19225979,https://www.hemnet.se/salda/lagenhet-5rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-86-6987364074247278264
2022-11-03,Myggdalsvägen 110,110,2.0,49.5,2000000,1995000,40404,3207,0.0,Svensk Fastighetsförmedling Tyresö,19250816,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-110-7367720519391668101
2022-10-18,"Myggdalsvägen 98, BV",98,4.0,90.0,2450000,2495000,27222,5572,-0.02,Svenska Mäklarhuset Tyresö,19126404,"https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-98,-bv-1874841185067719540"
2022-10-05,Myggdalsvägen 34,34,3.0,88.5,2100000,2575000,23729,5984,-0.18,HusmanHagberg Tyresö/Älta,18951836,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-34-4721182089021071215
2022-09-23,Myggdalsvägen 90,90,3.0,90.0,2750000,2850000,30556,6111,-0.04,Svensk Fastighetsförmedling Tyresö,19039407,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-tyreso-kommun-myggdalsvagen-90-7852892511087033769
2022-09-16,Myggdalsvägen 22,22,4.0,94.0,2970000,2395000,31596,6051,0.24,SkandiaMäklarna Tyresö/Älta,19039417,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-22-1600409818390821801
2022-09-05,Myggdalsvägen 100,100,2.0,74.0,1975000,2095000,26689,4666,-0.06,HusmanHagberg Tyresö/Älta,18994172,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-100-2569289232264414631
2022-08-30,Myggdalsvägen 106,106,2.0,67.0,2390000,2390000,35672,4571,0.0,HusmanHagberg Tyresö/Älta,18993195,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-106-5970033022647507902
2022-08-19,Myggdalsvägen 6 ,6,2.0,49.5,2100000,1950000,42424,3019,0.08,Fastighetsbyrån Tyresö,18943059,https://www.hemnet.se/salda/lagenhet-2rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-6-4935787402350484174
2022-07-30,Myggdalsvägen 66,66,4.0,88.5,3265000,2795000,36893,5699,0.17,HusmanHagberg Tyresö/Älta,18821597,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-66-5006397346073412385
2022-06-16,Myggdalsvägen 50,50,3.0,90.0,3100000,3250000,34444,6183,-0.05,BlumenthalHoffman Fastighetsmäkleri,18760297,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-tyreso-kommun-myggdalsvagen-50-3739234520131847284
2022-05-11,Myggdalsvägen 20,20,4.0,90.0,3650000,2795000,40556,5552,0.31,SkandiaMäklarna Tyresö/Älta,18573967,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-20-3678654610918368218
2022-05-05,Myggdalsvägen 64,64,4.0,92.0,3275000,2900000,35598,5825,0.13,HusmanHagberg Tyresö/Älta,18549220,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-64-2408836514106143488
2022-04-21,Myggdalsvägen 26,26,3.0,88.5,3300000,2695000,37288,5566,0.22,SkandiaMäklarna Tyresö/Älta,18522263,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-26-6917210786087216997
2022-04-13,Myggdalsvägen 14,14,4.0,90.0,2950000,2695000,32778,5686,0.09,HusmanHagberg Tyresö/Älta,18487623,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-14-2108800964723394389
2022-04-10,Myggdalsvägen 14,14,3.0,92.0,3200000,2795000,34783,5825,0.14,Svensk Fastighetsförmedling Tyresö,18465016,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-14-4956267088470149021
2022-03-31,Myggdalsvägen 118,118,2.0,77.5,2730000,2395000,35226,4457,0.14,MOHV Tyresö/Haninge,18430968,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-118-8060641390872289758
